10	10
-0.113918	0.077687	0.168219	-0.059220	-0.190784	0.042581	-0.088930	0.026952	0.119482	-0.042499	
-0.036103	0.099444	0.003777	0.010380	-0.165650	0.040135	-0.085050	-0.039256	0.050241	0.069949	
0.124158	-0.101128	-0.117216	-0.031828	0.255575	-0.161919	0.067051	0.035792	0.018246	-0.003780	
-0.030626	-0.020966	0.001803	0.006498	-0.119631	0.095195	0.036385	0.023494	-0.052623	0.080101	
0.079092	-0.058040	-0.137535	0.057420	0.249044	-0.109410	0.107792	0.039220	-0.107773	-0.014281	
-0.019815	0.015940	0.126522	0.068672	-0.187564	0.075273	-0.033788	-0.039303	-0.042156	0.016958	
-0.033604	-0.023374	-0.009610	0.018419	-0.004769	0.039968	-0.091729	0.047880	0.075358	-0.025821	
0.028356	-0.048410	-0.009997	-0.011302	0.194102	-0.090556	0.106378	-0.065731	-0.030963	0.004246	
-0.044065	0.104651	0.052659	-0.027206	-0.137945	0.105960	-0.148439	0.001795	0.025479	0.017544	
0.086860	-0.039274	-0.071005	0.010749	0.125627	-0.047038	0.103128	0.004959	-0.018741	-0.088309
